start_tz,start,end_tz,end,activity
UTC,1453905242,UTC,1453907388,work
UTC,1453908852,UTC,1453909387,work
UTC,1453971524,UTC,1453972761,work
UTC,1453974128,UTC,1453980558,work
UTC,1453989715,UTC,1453997204,work
UTC,1453997644,UTC,1454001180,work
UTC,1454061574,UTC,1454064607,work
UTC,1454073278,UTC,1454073925,work
UTC,1454076404,UTC,1454083031,work
UTC,1454084937,UTC,1454086976,start
UTC,1454315466,UTC,1454317786,work
UTC,1454318257,UTC,1454325713,work
UTC,1454328232,UTC,1454343074,work
UTC,1454343457,UTC,1454346957,work
UTC,1454403959,UTC,1454405351,work
UTC,1454406307,UTC,1454410922,work
UTC,1454411743,UTC,1454417179,work
UTC,1454420471,UTC,1454426304,work
UTC,1454426720,UTC,1454428810,work
UTC,1454504947,UTC,1454506509,work
UTC,1454508783,UTC,1454509867,work
UTC,1454511391,UTC,1454514380,work
UTC,1454516455,UTC,1454523375,work
UTC,1454576710,UTC,1454578072,work
UTC,1454580547,UTC,1454582861,work
UTC,1454585760,UTC,1454588993,start
UTC,1454589222,UTC,1454590586,work
UTC,1454594915,UTC,1454598944,work
UTC,1454600230,UTC,1454600810,work
UTC,1454604415,UTC,1454608766,work
UTC,1454667390,UTC,1454670233,work
UTC,1454674401,UTC,1454677856,work
UTC,1454682214,UTC,1454683515,work
UTC,1454925185,UTC,1454925775,work
UTC,1454926319,UTC,1454928238,work
UTC,1454939089,UTC,1454942741,work
UTC,1454947670,UTC,1454948556,work
UTC,1454949698,UTC,1454951189,work
UTC,1455018504,UTC,1455029034,work
UTC,1455032010,UTC,1455034425,work
UTC,1455103716,UTC,1455112666,work
UTC,1455114104,UTC,1455118213,work
UTC,1455181967,UTC,1455183490,work
UTC,1455184138,UTC,1455188315,work
UTC,1455197348,UTC,1455204991,work
UTC,1455206865,UTC,1455209150,work
UTC,1455274882,UTC,1455277507,work
UTC,1455279789,UTC,1455283362,work
UTC,1455285144,UTC,1455289518,work
UTC,1455290427,UTC,1455291616,work
UTC,1455296248,UTC,1455298616,work
UTC,1455303476,UTC,1455304219,work
UTC,1455525838,UTC,1455527656,work
UTC,1455528218,UTC,1455534051,work
UTC,1455535323,UTC,1455539484,work
UTC,1455541175,UTC,1455551445,work
UTC,1455552210,UTC,1455555280,work
UTC,1455613243,UTC,1455615206,work
UTC,1455617231,UTC,1455622150,work
UTC,1455623877,UTC,1455629689,work
UTC,1455630551,UTC,1455641534,work
UTC,1455702622,UTC,1455704259,work
UTC,1455705864,UTC,1455710496,work
UTC,1455710672,UTC,1455718966,work
UTC,1455719684,UTC,1455726416,work
UTC,1455727716,UTC,1455732246,work
UTC,1455790767,UTC,1455798494,work
UTC,1455799431,UTC,1455802575,work
UTC,1455804271,UTC,1455807463,work
UTC,1457516909,UTC,1457522928,work
UTC,1457608874,UTC,1457620679,work
UTC,1457691894,UTC,1457697894,work
UTC,1457708028,UTC,1457713972,work
UTC,1457946056,UTC,1457959470,work
UTC,1457966048,UTC,1457976447,work
UTC,1458032938,UTC,1458046959,work
UTC,1458049706,UTC,1458053468,work
UTC,1458054436,UTC,1458060109,work
UTC,1458124571,UTC,1458142881,work
UTC,1458148171,UTC,1458158029,work
UTC,1458208276,UTC,1458216958,work
UTC,1458218483,UTC,1458226694,work
UTC,1458227500,UTC,1458232455,work
UTC,1458233116,UTC,1458236204,work
UTC,1458293309,UTC,1458308146,work
UTC,1458311436,UTC,1458312722,work
UTC,1458313310,UTC,1458318600,work
UTC,1458322421,UTC,1458329555,work
UTC,1458335439,UTC,1458340439,work
UTC,1458479169,UTC,1458485351,work
UTC,1458492307,UTC,1458501948,work
UTC,1458503443,UTC,1458512407,work
UTC,1458516981,UTC,1458525981,work
UTC,1458557252,UTC,1458558943,work
UTC,1458559744,UTC,1458561768,work
UTC,1458573095,UTC,1458576050,work
UTC,1458642383,UTC,1458662656,work
UTC,1458727197,UTC,1458735215,work
UTC,1458738554,UTC,1458739919,work
UTC,1458740797,UTC,1458746466,work
UTC,1458747416,UTC,1458752719,work
UTC,1458753921,UTC,1458756856,work
UTC,1458814329,UTC,1458825650,work
UTC,1458832339,UTC,1458834547,work
UTC,1458835157,UTC,1458836526,work
UTC,1459233866,UTC,1459249899,work
UTC,1459252737,UTC,1459266751,work
UTC,1459320809,UTC,1459332338,work
UTC,1459332779,UTC,1459336757,work
UTC,1459339268,UTC,1459346867,work
UTC,1459410073,UTC,1459411544,work
UTC,1459412732,UTC,1459414256,work
UTC,1459415328,UTC,1459419867,work
UTC,1459423685,UTC,1459430690,work
UTC,1459431735,UTC,1459435651,work
UTC,1459494840,UTC,1459496571,work
UTC,1459497287,UTC,1459499352,work
UTC,1459499683,UTC,1459501685,work
